run_label,view_distance,cells_per_axis,min_footprint_cells,max_footprint_cells,seed,chunk_size,building_chunk_radius,max_buildings_per_chunk,elapsed_seconds,distance_world,fps,active_chunks,generated_chunks_delta,analyzed_chunks_delta,wfc_attempts_delta,wfc_successes_delta,wfc_failures_delta,active_building_chunks,active_building_blueprints,avg_chunk_generation_ms,avg_analysis_ms,avg_wfc_ms,last_chunk_generation_ms,last_analysis_ms,last_wfc_ms,visible_buildable_cells,visible_buildable_ratio,allocated_memory_mb,gpu_texture_mb
baseline_c_1,10,16,3,5,303,128,10,1,0,0,167.5135,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,626.1384,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,0.0046,0.1693,206.7771,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,626.1292,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,0.5082,17.7974,173.7733,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,624.6803,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,1.0083,35.2995,175.9105,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,622.8013,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,1.5104,52.8725,426.2651,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,622.4139,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,2.0163,70.5793,163.2187,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,622.5598,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,2.5187,88.1622,412.7541,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,622.5437,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,3.0187,105.6631,440.7228,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,622.4363,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,3.5248,123.3784,162.1523,441,0,0,0,0,0,188,188,665.8245,0.4299,0.0262,974.7355,0.4363,0.0498,27024,0.2394,622.4214,27.5625
baseline_c_1,10,16,3,5,303,128,10,1,4.0255,140.9013,455.624,462,21,21,8,8,0,196,196,636.59,0.4298,0.0261,35.5291,0.4072,0.0315,28600,0.2418,642.3331,28.875
