run_label,view_distance,cells_per_axis,min_footprint_cells,max_footprint_cells,seed,chunk_size,building_chunk_radius,max_buildings_per_chunk,elapsed_seconds,distance_world,fps,active_chunks,generated_chunks_delta,analyzed_chunks_delta,wfc_attempts_delta,wfc_successes_delta,wfc_failures_delta,active_building_chunks,active_building_blueprints,avg_chunk_generation_ms,avg_analysis_ms,avg_wfc_ms,last_chunk_generation_ms,last_analysis_ms,last_wfc_ms,visible_buildable_cells,visible_buildable_ratio,allocated_memory_mb,gpu_texture_mb
baseline_a_3,10,16,3,5,0,128,10,1,0,0,170.2055,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,640.0505,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,0.0042,0.1542,226.9718,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,639.8748,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,0.5082,17.7941,169.7673,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,638.4819,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,1.0086,35.3073,393.346,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,636.0084,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,1.5093,52.8335,405.6728,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,633.2858,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,2.0117,70.4175,398.4461,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,630.1693,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,2.5135,87.9805,416.4137,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,626.9035,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,3.0154,105.5472,412.2367,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,623.8432,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,3.5171,123.108,428.4338,441,0,0,0,0,0,188,188,622.3107,0.4276,0.0268,928.2055,0.3941,0.0186,28597,0.2533,620.4277,27.5625
baseline_a_3,10,16,3,5,0,128,10,1,4.0193,140.6822,397.4892,462,21,21,10,10,0,198,198,594.9487,0.4272,0.0267,33.4683,0.4015,0.0162,30240,0.2557,640.3969,28.875
baseline_a_3,10,16,3,5,0,128,10,1,4.5214,158.2576,366.7033,462,21,21,10,10,0,198,198,594.9487,0.4272,0.0267,33.4683,0.4015,0.0162,30240,0.2557,640.2307,28.875
baseline_a_3,10,16,3,5,0,128,10,1,5.0217,175.7676,401.0427,462,21,21,10,10,0,198,198,594.9487,0.4272,0.0267,33.4683,0.4015,0.0162,30240,0.2557,640.2247,28.875
baseline_a_3,10,16,3,5,0,128,10,1,5.522,193.2783,414.7441,462,21,21,10,10,0,198,198,594.9487,0.4272,0.0267,33.4683,0.4015,0.0162,30240,0.2557,640.2139,28.875
baseline_a_3,10,16,3,5,0,128,10,1,6.0228,210.806,399.3742,462,21,21,10,10,0,198,198,594.9487,0.4272,0.0267,33.4683,0.4015,0.0162,30240,0.2557,640.1119,28.875
