run_label,view_distance,cells_per_axis,min_footprint_cells,max_footprint_cells,seed,chunk_size,building_chunk_radius,max_buildings_per_chunk,elapsed_seconds,distance_world,fps,active_chunks,generated_chunks_delta,analyzed_chunks_delta,wfc_attempts_delta,wfc_successes_delta,wfc_failures_delta,active_building_chunks,active_building_blueprints,avg_chunk_generation_ms,avg_analysis_ms,avg_wfc_ms,last_chunk_generation_ms,last_analysis_ms,last_wfc_ms,visible_buildable_cells,visible_buildable_ratio,allocated_memory_mb,gpu_texture_mb
largerGrid_a_1,10,32,3,5,0,128,10,1,0,0,310.3703,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,672.5637,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,0.0045,0.1671,209.5063,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,672.0828,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,0.5062,17.7272,325.4944,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,670.324,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,1.008,35.2904,325.4679,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,668.3171,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,1.5094,52.8391,335.308,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,668.3035,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,2.0113,70.4056,314.2637,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,668.1429,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,2.5133,87.9746,309.4339,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,667.8052,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,3.0153,105.5459,333.1761,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,668.1793,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,3.5163,123.081,340.0253,441,0,0,0,0,0,272,272,957.4171,1.6708,0.1031,1568.877,1.5466,0.0625,133419,0.2954,667.9684,27.5625
largerGrid_a_1,10,32,3,5,0,128,10,1,4.0191,140.6793,288.1879,462,21,21,18,18,0,290,290,915.5562,1.6701,0.1033,64.8804,1.5869,0.0534,141724,0.2996,690.4009,28.875
largerGrid_a_1,10,32,3,5,0,128,10,1,4.5217,158.271,291.1244,462,21,21,18,18,0,290,290,915.5562,1.6701,0.1033,64.8804,1.5869,0.0534,141724,0.2996,690.4004,28.875
largerGrid_a_1,10,32,3,5,0,128,10,1,5.0247,175.875,293.205,462,21,21,18,18,0,290,290,915.5562,1.6701,0.1033,64.8804,1.5869,0.0534,141724,0.2996,690.2303,28.875
largerGrid_a_1,10,32,3,5,0,128,10,1,5.5279,193.4872,301.1028,462,21,21,18,18,0,290,290,915.5562,1.6701,0.1033,64.8804,1.5869,0.0534,141724,0.2996,690.4842,28.875
largerGrid_a_1,10,32,3,5,0,128,10,1,6.031,211.0949,316.489,462,21,21,18,18,0,290,290,915.5562,1.6701,0.1033,64.8804,1.5869,0.0534,141724,0.2996,690.3065,28.875
largerGrid_a_1,10,32,3,5,0,128,10,1,6.5315,228.6118,317.8387,462,21,21,18,18,0,290,290,915.5562,1.6701,0.1033,64.8804,1.5869,0.0534,141724,0.2996,690.2863,28.875
largerGrid_a_1,10,32,3,5,0,128,10,1,7.0342,246.2078,325.5694,462,21,21,18,18,0,290,290,915.5562,1.6701,0.1033,64.8804,1.5869,0.0534,141724,0.2996,690.264,28.875
largerGrid_a_1,10,32,3,5,0,128,10,1,7.5355,263.754,285.5477,483,42,42,36,36,0,308,308,877.3532,1.6711,0.1029,64.9567,1.646,0.0315,149815,0.3029,712.6926,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,8.0374,281.3189,297.3609,483,42,42,36,36,0,308,308,877.3532,1.6711,0.1029,64.9567,1.646,0.0315,149815,0.3029,712.7697,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,8.5377,298.8304,295.1667,483,42,42,36,36,0,308,308,877.3532,1.6711,0.1029,64.9567,1.646,0.0315,149815,0.3029,712.5753,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,9.0395,316.3933,304.8355,483,42,42,36,36,0,308,308,877.3532,1.6711,0.1029,64.9567,1.646,0.0315,149815,0.3029,712.5435,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,9.5417,333.9707,302.9652,483,42,42,36,36,0,308,308,877.3532,1.6711,0.1029,64.9567,1.646,0.0315,149815,0.3029,712.4502,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,10.0443,351.5616,310.8687,483,42,42,36,36,0,308,308,877.3532,1.6711,0.1029,64.9567,1.646,0.0315,149815,0.3029,712.4164,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,10.545,369.086,321.0788,483,42,42,36,36,0,308,308,877.3532,1.6711,0.1029,64.9567,1.646,0.0315,149815,0.3029,712.378,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,11.0455,386.6038,285.1678,483,63,63,53,53,0,311,311,842.3287,1.6711,0.1033,64.7106,1.6403,0.0343,150189,0.3037,712.7164,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,11.5476,404.1775,303.3712,483,63,63,53,53,0,311,311,842.3287,1.6711,0.1033,64.7106,1.6403,0.0343,150189,0.3037,712.5415,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,12.0499,421.7573,304.5145,483,63,63,53,53,0,311,311,842.3287,1.6711,0.1033,64.7106,1.6403,0.0343,150189,0.3037,712.6866,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,12.5509,439.2928,299.7752,483,63,63,53,53,0,311,311,842.3287,1.6711,0.1033,64.7106,1.6403,0.0343,150189,0.3037,712.6034,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,13.0515,456.8129,320.3759,483,63,63,53,53,0,311,311,842.3287,1.6711,0.1033,64.7106,1.6403,0.0343,150189,0.3037,712.7709,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,13.5539,474.3977,313.6681,483,63,63,53,53,0,311,311,842.3287,1.6711,0.1033,64.7106,1.6403,0.0343,150189,0.3037,712.5866,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,14.0561,491.9727,317.2254,483,63,63,53,53,0,311,311,842.3287,1.6711,0.1033,64.7106,1.6403,0.0343,150189,0.3037,712.5474,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,14.5928,508.3785,226.445,483,84,84,64,64,0,309,309,810.2301,1.6784,0.1024,73.4005,1.6441,0.0324,147164,0.2975,713.252,30.1875
largerGrid_a_1,10,32,3,5,0,128,10,1,15.0932,528.2728,311.0218,483,84,84,64,64,0,309,309,810.2301,1.6784,0.1024,73.4005,1.6441,0.0324,147164,0.2975,712.5657,30.1875
