run_label,view_distance,cells_per_axis,min_footprint_cells,max_footprint_cells,seed,chunk_size,building_chunk_radius,max_buildings_per_chunk,elapsed_seconds,distance_world,fps,active_chunks,generated_chunks_delta,analyzed_chunks_delta,wfc_attempts_delta,wfc_successes_delta,wfc_failures_delta,active_building_chunks,active_building_blueprints,avg_chunk_generation_ms,avg_analysis_ms,avg_wfc_ms,last_chunk_generation_ms,last_analysis_ms,last_wfc_ms,visible_buildable_cells,visible_buildable_ratio,allocated_memory_mb,gpu_texture_mb
denseWFC_a_2,10,16,3,5,0,128,10,2,0,0,268.8473,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,633.0002,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,0.005,0.1859,188.2604,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,632.4915,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,0.5051,17.6887,278.1351,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,631.1766,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,1.006,35.2208,282.2102,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,628.8652,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,1.5082,52.7976,284.4984,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,628.846,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,2.0083,70.3033,297.0885,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,628.8306,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,2.5115,87.9132,303.7744,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,628.8092,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,3.0147,105.5248,301.5605,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,628.7227,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,3.5152,123.0444,305.978,441,0,0,0,0,0,188,316,664.5853,0.4231,0.0284,981.1988,0.4194,0.0215,28597,0.2533,628.7042,27.5625
denseWFC_a_2,10,16,3,5,0,128,10,2,4.0173,140.6161,299.8575,462,21,21,16,16,0,198,332,635.3892,0.423,0.0283,36.2577,0.4005,0.0191,30240,0.2557,649.0755,28.875
denseWFC_a_2,10,16,3,5,0,128,10,2,4.5204,158.2247,282.8721,462,21,21,16,16,0,198,332,635.3892,0.423,0.0283,36.2577,0.4005,0.0191,30240,0.2557,649.0632,28.875
denseWFC_a_2,10,16,3,5,0,128,10,2,5.0209,175.7418,294.2691,462,21,21,16,16,0,198,332,635.3892,0.423,0.0283,36.2577,0.4005,0.0191,30240,0.2557,648.9767,28.875
