run_label,view_distance,cells_per_axis,min_footprint_cells,max_footprint_cells,seed,chunk_size,building_chunk_radius,max_buildings_per_chunk,elapsed_seconds,distance_world,fps,active_chunks,generated_chunks_delta,analyzed_chunks_delta,wfc_attempts_delta,wfc_successes_delta,wfc_failures_delta,active_building_chunks,active_building_blueprints,avg_chunk_generation_ms,avg_analysis_ms,avg_wfc_ms,last_chunk_generation_ms,last_analysis_ms,last_wfc_ms,visible_buildable_cells,visible_buildable_ratio,allocated_memory_mb,gpu_texture_mb
baseline_b_2,10,16,3,5,202,128,10,1,0,0,400.7748,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,629.8344,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,0.0073,0.265,132.0655,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,629.8768,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,0.5078,17.7832,416.1753,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,628.2133,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,1.0078,35.2836,411.9183,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,626.3248,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,1.5137,52.9883,170.6751,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,624.5751,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,2.0137,70.4894,164.3543,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,623.4218,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,2.5157,88.0598,431.0113,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,623.2631,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,3.016,105.5703,433.0802,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,623.2638,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,3.5161,123.0738,434.4521,441,0,0,0,0,0,217,217,662.7607,0.4313,0.0287,979.1494,0.4222,0.0088,31200,0.2764,623.2556,27.5625
baseline_b_2,10,16,3,5,202,128,10,1,4.0162,140.5776,423.243,462,21,21,6,6,0,223,223,633.6491,0.431,0.0282,35.6407,0.4082,0.0086,32254,0.2727,643.2016,28.875
baseline_b_2,10,16,3,5,202,128,10,1,4.5184,158.1541,414.8374,462,21,21,6,6,0,223,223,633.6491,0.431,0.0282,35.6407,0.4082,0.0086,32254,0.2727,643.0328,28.875
baseline_b_2,10,16,3,5,202,128,10,1,5.0217,175.7687,167.4516,462,21,21,6,6,0,223,223,633.6491,0.431,0.0282,35.6407,0.4082,0.0086,32254,0.2727,643.1881,28.875
baseline_b_2,10,16,3,5,202,128,10,1,5.5218,193.2734,169.3361,462,21,21,6,6,0,223,223,633.6491,0.431,0.0282,35.6407,0.4082,0.0086,32254,0.2727,643.1835,28.875
